CustomerKey,FirstName,LastName,FullName,DateFirstPurchase,CustomerCity,Gender
11080,Damien,Chander,Damien Chander,2011-04-10,Perth,Male
11081,Savannah,Baker,Savannah Baker,2013-02-12,Concord,Female
11082,Angela,Butler,Angela Butler,2013-01-22,Fremont,Female
11083,Alyssa,Cox,Alyssa Cox,2013-01-06,Lincoln Acres,Female
11084,Lucas,Phillips,Lucas Phillips,2013-01-04,Lebanon,Male
11085,Emily,Johnson,Emily Johnson,2013-12-06,Newport Beach,Female
11086,Ryan,Brown,Ryan Brown,2013-07-02,Santa Monica,Male
11087,Tamara,Liang,Tamara Liang,2013-02-25,Chula Vista,Female
11088,Hunter,Davis,Hunter Davis,2013-01-13,San Diego,Male
11089,Abigail,Price,Abigail Price,2012-12-29,Long Beach,Female
11090,Trevor,Bryant,Trevor Bryant,2011-08-07,Los Angeles,Male
11091,Dalton,Perez,Dalton Perez,2013-01-29,Haney,Male
11092,Cheryl,Diaz,Cheryl Diaz,2011-04-08,East Brisbane,Female
11093,Aimee,He,Aimee He,2011-04-07,Wollongong,Female
11094,Cedric,Ma,Cedric Ma,2013-04-07,Cranbourne,Male
11095,Chad,Kumar,Chad Kumar,2011-04-01,Port Macquarie,Male
11096,Andrés,Anand,Andrés Anand,2011-04-11,North Sydney,Male
11097,Edwin,Nara,Edwin Nara,2011-04-04,Warrnambool,Male
11098,Mallory,Rubio,Mallory Rubio,2013-02-11,Rhodes,Female
11099,Adam,Ross,Adam Ross,2011-04-07,Port Macquarie,Male
11100,Latasha,Navarro,Latasha Navarro,2011-04-16,Cloverdale,Female
11101,Abby,Sai,Abby Sai,2011-04-29,Cranbourne,Female
11102,Julia,Nelson,Julia Nelson,2013-07-16,Sydney,Female
11103,Cassie,Chande,Cassie Chande,2011-04-15,Darlinghurst,Female
11104,Edgar,Sara,Edgar Sara,2011-05-04,Gold Coast,Male
11105,Candace,Fernandez,Candace Fernandez,2011-05-14,Matraville,Female
11106,Jessie,Liu,Jessie Liu,2011-05-18,Warrnambool,Male
11107,Bianca,Lin,Bianca Lin,2011-05-01,St. Leonards,Female
11108,Kari,Alvarez,Kari Alvarez,2011-05-03,Port Macquarie,Female
11109,Ruben,Kapoor,Ruben Kapoor,2011-05-10,South Melbourne,Male
11110,Curtis,Yang,Curtis Yang,2011-05-01,Darlinghurst,Male
11111,Meredith,Gutierrez,Meredith Gutierrez,2011-05-20,Geelong,Female
11112,Crystal,Wang,Crystal Wang,2011-05-25,Hervey Bay,Female
11113,Micheal,Blanco,Micheal Blanco,2013-02-01,Perth,Male
11114,Leslie,Moreno,Leslie Moreno,2013-03-18,Rhodes,Female
11115,Alvin,Cai,Alvin Cai,2013-02-10,St. Leonards,Male
11116,Clinton,Carlson,Clinton Carlson,2013-03-15,Sydney,Male
11117,April,Deng,April Deng,2011-05-06,Matraville,Female
11118,Alvin,Zeng,Alvin Zeng,2013-07-10,Lavender Bay,Male
11119,Evan,James,Evan James,2013-02-03,Port Macquarie,Male
11120,Beth,Jiménez,Beth Jiménez,2011-05-14,Sydney,Female
11121,Orlando,Suarez,Orlando Suarez,2013-06-24,Newcastle,Male
11122,Byron,Vazquez,Byron Vazquez,2013-02-21,North Sydney,Male
11123,Philip,Alvarez,Philip Alvarez,2013-04-17,Sunbury,Male
11124,Ross,Jordan,Ross Jordan,2011-05-05,Warrnambool,Male
11125,Dana,Navarro,Dana Navarro,2013-01-31,Seaford,Female
11126,Shaun,Carson,Shaun Carson,2011-05-28,North Ryde,Male
11127,Jan,Edwards,Jan Edwards,2013-04-10,San Gabriel,Female
11128,Samantha,Long,Samantha Long,2013-06-19,Renton,Female
11129,Julia,Wright,Julia Wright,2011-08-06,Sedro Woolley,Female
11130,Caroline,Russell,Caroline Russell,2013-12-09,Lebanon,Female
11131,Amanda,Rivera,Amanda Rivera,2013-10-18,Haney,Female
11132,Melissa,Richardson,Melissa Richardson,2013-04-09,Langford,Female
11133,Angela,Griffin,Angela Griffin,2013-12-30,Lake Oswego,Female
11134,Larry,Townsend,Larry Townsend,2011-05-03,Perth,Male
11135,Marcus,Harris,Marcus Harris,2013-04-18,Burlingame,Male
11136,Brianna,Morgan,Brianna Morgan,2013-01-03,Metchosin,Female
11137,Jasmine,Taylor,Jasmine Taylor,2013-07-31,Spokane,Female
11138,Lauren,Davis,Lauren Davis,2013-09-19,Glendale,Female
11139,Tanya,Moreno,Tanya Moreno,2013-09-14,Cloverdale,Female
11140,Javier,Alvarez,Javier Alvarez,2013-03-19,Burbank,Male
11141,Nicole,Ramirez,Nicole Ramirez,2013-05-16,Daly City,Female
11142,Eduardo,Patterson,Eduardo Patterson,2013-02-13,Langford,Male
11143,Jonathan,Henderson,Jonathan Henderson,2013-06-15,Lakewood,Male
11144,Edward,Hernandez,Edward Hernandez,2013-01-25,Ballard,Male
11145,Jasmine,Coleman,Jasmine Coleman,2013-01-25,Beaverton,Female
11146,Karla,Goel,Karla Goel,2013-02-05,Matraville,Female
11147,Ernest,Wu,Ernest Wu,2011-05-13,Warrnambool,Male
11148,Ross,Vazquez,Ross Vazquez,2013-03-07,East Brisbane,Male
11149,Theodore,Gill,Theodore Gill,2013-06-04,Hervey Bay,Male
11150,Russell,Shen,Russell Shen,2013-03-27,Sunbury,Male
11151,Melinda,Gill,Melinda Gill,2011-05-15,Sydney,Female
11152,James,Williams,James Williams,2013-01-09,Puyallup,Male
11153,Angela,James,Angela James,2013-03-29,Renton,Female
11154,Megan,Walker,Megan Walker,2013-01-10,Woodburn,Female
11155,Hunter,Robinson,Hunter Robinson,2013-01-06,Burbank,Male
11156,Maria,Roberts,Maria Roberts,2013-01-08,Lakewood,Female
11157,Hannah,Long,Hannah Long,2013-07-24,Tacoma,Female
11158,Jason,Wright,Jason Wright,2013-01-19,San Gabriel,Male
11159,Brianna,Hughes,Brianna Hughes,2013-09-08,Woodland Hills,Female
11160,Maurice,Tang,Maurice Tang,2013-02-21,Concord,Male
11161,Emily,Wood,Emily Wood,2013-06-01,Concord,Female
11162,Chase,Cox,Chase Cox,2013-02-18,La Jolla,Male
11163,Gabriel,Wang,Gabriel Wang,2013-05-01,Spring Valley,Male
11164,Devin,Brooks,Devin Brooks,2013-04-27,Torrance,Male
11165,Jocelyn,Alexander,Jocelyn Alexander,2013-05-25,Oakland,Female
11166,Ashley,Martinez,Ashley Martinez,2013-10-14,Olympia,Female
11167,Jasmine,Barnes,Jasmine Barnes,2013-01-07,Issaquah,Female
11168,David,Rodriguez,David Rodriguez,2013-01-15,Oakland,Male
11169,Bryce,Richardson,Bryce Richardson,2013-05-26,Coronado,Male
11170,Carol,Howard,Carol Howard,2013-08-26,Burien,Female
11171,Jonathan,Hill,Jonathan Hill,2011-08-20,Woodland Hills,Male
11172,Gabrielle,Adams,Gabrielle Adams,2013-05-03,Lynnwood,Female
11173,Sarah,Thomas,Sarah Thomas,2013-03-02,W. Linn,Female
11174,Nicholas,Robinson,Nicholas Robinson,2013-07-13,Los Angeles,Male
11175,Luis,Wang,Luis Wang,2011-08-28,Beverly Hills,Male
11176,Mason,Roberts,Mason Roberts,2013-02-02,Haney,Male
11177,Jose,Flores,Jose Flores,2013-03-29,San Diego,Male
11178,Nathan,Johnson,Nathan Johnson,2013-02-21,Lakewood,Male
11179,Molly,Rodriguez,Molly Rodriguez,2013-03-12,Beverly Hills,Female
11180,April,Anand,April Anand,2013-03-17,Chula Vista,Female
11181,Devin,Martin,Devin Martin,2013-05-07,Los Angeles,Male
11182,Stephanie,Torres,Stephanie Torres,2013-08-28,Sedro Woolley,Female
11183,Jasmine,Lee,Jasmine Lee,2013-04-30,Santa Cruz,Female
11184,Meghan,Hernandez,Meghan Hernandez,2013-08-10,Concord,Female
11185,Ashley,Henderson,Ashley Henderson,2013-02-21,Metchosin,Female
11186,Sarah,Price,Sarah Price,2013-10-18,Palo Alto,Female
11187,Jennifer,Cooper,Jennifer Cooper,2013-04-03,Burien,Female
11188,Catherine,Morris,Catherine Morris,2013-11-01,San Gabriel,Female
11189,Lawrence,Blanco,Lawrence Blanco,2011-08-26,Bellingham,Male
11190,Carson,Bryant,Carson Bryant,2013-08-28,Beverly Hills,Male
11191,Kristi,Perez,Kristi Perez,2011-08-11,Colma,Female
11192,James,Brown,James Brown,2013-06-23,Seattle,Male
11193,Ian,Gray,Ian Gray,2013-02-25,Woodburn,Male
11194,Jacqueline,Price,Jacqueline Price,2013-03-13,Palo Alto,Female
11195,Megan,Henderson,Megan Henderson,2013-04-14,Renton,Female
11196,Alfredo,Romero,Alfredo Romero,2013-03-03,Beaverton,Male
11197,Andrea,Morris,Andrea Morris,2013-05-02,Seattle,Female
11198,Brooke,Sanders,Brooke Sanders,2013-02-05,Santa Cruz,Female
11199,Jacqueline,Bennett,Jacqueline Bennett,2013-03-18,Burlingame,Female
11200,Jason,Griffin,Jason Griffin,2013-02-07,Victoria,Male
11201,Amanda,Foster,Amanda Foster,2013-07-01,Santa Monica,Female
11202,Alexia,Price,Alexia Price,2013-09-15,Lakewood,Female
11203,Luis,Diaz,Luis Diaz,2013-02-20,Port Hammond,Male
11204,Destiny,Rivera,Destiny Rivera,2013-08-09,Beaverton,Female
11205,Abby,Fernandez,Abby Fernandez,2013-07-27,Burien,Female
11206,Blake,Flores,Blake Flores,2013-05-11,Lynnwood,Male
11207,Danielle,Cox,Danielle Cox,2013-01-31,Renton,Female
11208,Maria,Reed,Maria Reed,2013-03-04,Glendale,Female
11209,Allison,Evans,Allison Evans,2013-03-25,Lincoln Acres,Female
11210,Edward,Wood,Edward Wood,2013-05-06,West Covina,Male
11211,Samantha,Russell,Samantha Russell,2013-02-01,Haney,Female
11212,Chloe,Campbell,Chloe Campbell,2013-01-30,Metchosin,Female
11213,Stephanie,Murphy,Stephanie Murphy,2013-03-28,Edmonds,Female
11214,Charles,Miller,Charles Miller,2013-08-14,Milwaukie,Male
11215,Ana,Perry,Ana Perry,2013-02-15,Royal Oak,Female
11216,Jasmine,Torres,Jasmine Torres,2011-08-15,Portland,Female
11217,Natalie,Adams,Natalie Adams,2011-08-10,Portland,Female
11218,Olivia,Brown,Olivia Brown,2013-02-28,Tacoma,Female
11219,Charles,Cook,Charles Cook,2013-10-29,Woodburn,Male
11220,Erica,Huang,Erica Huang,2013-03-14,Colma,Female
11221,Nathan,Perry,Nathan Perry,2013-04-07,Lakewood,Male
11222,Alexandra,Rivera,Alexandra Rivera,2013-11-01,Santa Monica,Female
11223,Hailey,Patterson,Hailey Patterson,2013-01-29,Langley,Female
11224,Tiffany,Li,Tiffany Li,2011-08-07,Burien,Female
11225,Madison,Lee,Madison Lee,2013-06-22,Renton,Female
11226,Sydney,Ross,Sydney Ross,2013-02-21,W. Linn,Female
11227,Marshall,Chavez,Marshall Chavez,2011-08-03,Colma,Male
11228,Ashley,Jones,Ashley Jones,2013-10-25,El Cajon,Female
11229,Adrian,Stewart,Adrian Stewart,2013-07-27,Redwood City,Male
11230,Amber,Turner,Amber Turner,2013-07-16,Santa Monica,Female
11231,Dennis,Zhang,Dennis Zhang,2013-02-10,Bremerton,Male
11232,Hailey,Bryant,Hailey Bryant,2013-09-20,Everett,Female
11233,Todd,Li,Todd Li,2013-02-08,Berkeley,Male
11234,Anna,Griffin,Anna Griffin,2013-02-08,Long Beach,Female
11235,Angel,Stewart,Angel Stewart,2013-07-04,Ballard,Male
11236,Jeremy,Butler,Jeremy Butler,2013-10-03,Bellingham,Male
11237,Clarence,Anand,Clarence Anand,2011-09-05,Solingen,Male
11238,Mayra,Prasad,Mayra Prasad,2011-01-06,Birmingham,Female
11239,Latoya,Goel,Latoya Goel,2011-01-19,London,Female
11240,Anne,Hernandez,Anne Hernandez,2011-02-27,Watford,Female
11241,Lisa,Cai,Lisa Cai,2012-09-10,Les Ulis,Female
11242,Larry,Munoz,Larry Munoz,2012-09-19,Versailles,Male
11243,Robin,Alvarez,Robin Alvarez,2011-02-21,Esher-Molesey,Female
11244,Alexis,Coleman,Alexis Coleman,2011-02-12,Runcorn,Female
11245,Ricky,Vazquez,Ricky Vazquez,2011-09-26,Hamburg,Male
11246,Latasha,Rubio,Latasha Rubio,2011-10-03,Hamburg,Female
11247,Claudia,Zhou,Claudia Zhou,2011-02-18,Lancaster,Female
11248,Tristan,Alexander,Tristan Alexander,2013-07-14,Saint-Denis,Male
11249,Cindy,Patel,Cindy Patel,2011-10-09,Sulzbach Taunus,Female
11250,Shannon,Liu,Shannon Liu,2011-03-17,Woolston,Female
11251,Xavier,Long,Xavier Long,2013-10-18,Haney,Male
11252,Nicholas,Thompson,Nicholas Thompson,2011-08-14,Lemon Grove,Male
11253,José,Hernandez,José Hernandez,2013-03-01,Victoria,Male
11254,Johnathan,Vance,Johnathan Vance,2013-11-23,Burien,Male
11255,Colin,Lin,Colin Lin,2013-02-23,Burien,Male
11256,Katelyn,Hernandez,Katelyn Hernandez,2013-04-15,Lynnwood,Female
11257,Jacqueline,Powell,Jacqueline Powell,2011-08-24,Newport Beach,Female
11258,Xavier,Hill,Xavier Hill,2013-05-21,Palo Alto,Male
11259,Victoria,Stewart,Victoria Stewart,2011-09-04,Salem,Female
11260,Katelyn,Kelly,Katelyn Kelly,2013-02-05,Burlingame,Female
11261,Stephanie,Collins,Stephanie Collins,2011-09-27,San Diego,Female
11262,Jennifer,Simmons,Jennifer Simmons,2013-02-27,Port Hammond,Female
11263,Trinity,Richardson,Trinity Richardson,2011-08-29,Burien,Female
11264,Eduardo,Martin,Eduardo Martin,2013-01-02,Issaquah,Male
11265,Elizabeth,Jones,Elizabeth Jones,2013-01-03,Kirkland,Female
11266,Taylor,Howard,Taylor Howard,2011-09-10,Port Orchard,Female
11267,David,Diaz,David Diaz,2011-09-17,Burlingame,Male
11268,Katelyn,Carter,Katelyn Carter,2013-05-29,Coronado,Female
11269,Ryan,Foster,Ryan Foster,2013-08-22,Daly City,Male
11270,Robert,Lee,Robert Lee,2011-09-10,Lakewood,Male
11271,Danielle,Reed,Danielle Reed,2011-09-27,San Francisco,Female
11272,Lauren,Martinez,Lauren Martinez,2011-09-19,Beverly Hills,Female
11273,Nathan,Lal,Nathan Lal,2013-05-14,La Jolla,Male
11274,Kyle,Foster,Kyle Foster,2011-08-29,Bellingham,Male
11275,Jenny,Rai,Jenny Rai,2011-08-30,Colma,Female
11276,Nancy,Chapman,Nancy Chapman,2013-01-29,Cliffside,Female
11277,Charles,Jackson,Charles Jackson,2013-02-02,Royal Oak,Male
11278,Jonathan,Phillips,Jonathan Phillips,2011-09-16,Edmonds,Male
11279,Amanda,Cook,Amanda Cook,2013-03-03,Everett,Female
11280,Robert,Collins,Robert Collins,2013-07-01,Lynnwood,Male
11281,Megan,Barnes,Megan Barnes,2011-09-13,Burbank,Female
11282,Christian,Thomas,Christian Thomas,2011-08-31,Burien,Male
11283,Arturo,Lal,Arturo Lal,2013-05-29,Berkeley,Male
11284,Theresa,Serrano,Theresa Serrano,2013-02-06,Chula Vista,Female
11285,Jeremy,Anderson,Jeremy Anderson,2013-07-27,Fremont,Male
11286,Hunter,Griffin,Hunter Griffin,2011-09-21,Torrance,Male
11287,Henry,Garcia,Henry Garcia,2013-01-29,Cliffside,Male
11288,Cindy,Sanchez,Cindy Sanchez,2013-03-05,Burbank,Female
11289,Maria,Carter,Maria Carter,2011-09-08,Downey,Female
11290,Katelyn,Sanchez,Katelyn Sanchez,2011-09-20,Lakewood,Female
11291,Jenna,Wright,Jenna Wright,2011-09-04,Lemon Grove,Female
11292,Seth,Phillips,Seth Phillips,2011-09-15,San Gabriel,Male
11293,Luke,Long,Luke Long,2013-02-24,Port Orchard,Male
11294,Dalton,Clark,Dalton Clark,2013-09-25,Issaquah,Male
11295,Taylor,Lewis,Taylor Lewis,2011-09-25,Concord,Female
11296,Haley,Richardson,Haley Richardson,2011-09-01,Everett,Female
11297,Noah,Coleman,Noah Coleman,2011-09-26,Burbank,Male
11298,Jon,Luo,Jon Luo,2011-09-12,Chula Vista,Male
11299,Orlando,Vazquez,Orlando Vazquez,2011-09-26,Burbank,Male
11300,Fernando,Barnes,Fernando Barnes,2013-01-31,N. Vancouver,Male
11301,Cameron,Rodriguez,Cameron Rodriguez,2013-06-09,Ballard,Male
11302,Spencer,Russell,Spencer Russell,2011-09-06,Corvallis,Male
11303,Julia,Coleman,Julia Coleman,2011-09-02,Edmonds,Female
11304,Julia,Garcia,Julia Garcia,2013-03-20,Portland,Female
11305,Sean,Evans,Sean Evans,2013-03-25,Chula Vista,Male
11306,Micah,Zhou,Micah Zhou,2013-06-30,Coronado,Male
11307,Hunter,Rodriguez,Hunter Rodriguez,2011-09-04,Daly City,Male
11308,Ian,Gonzales,Ian Gonzales,2013-09-07,Oregon City,Male
11309,Victoria,Lewis,Victoria Lewis,2013-07-09,Beaverton,Female
11310,Erin,Sanders,Erin Sanders,2013-08-12,San Francisco,Female
11311,Gabrielle,Lopez,Gabrielle Lopez,2013-04-18,Lynnwood,Female
11312,Sara,Richardson,Sara Richardson,2013-05-17,Lynnwood,Female
11313,Trevor,Jenkins,Trevor Jenkins,2013-05-07,Port Orchard,Male
11314,Mya,Flores,Mya Flores,2013-02-25,Issaquah,Female
11315,Hailey,Ward,Hailey Ward,2013-05-20,Port Orchard,Female
11316,Luke,Allen,Luke Allen,2013-01-12,Langford,Male
11317,Victoria,Russell,Victoria Russell,2011-09-01,Salem,Female
11318,Jessica,Wilson,Jessica Wilson,2013-10-17,Edmonds,Female
11319,Jade,Bailey,Jade Bailey,2011-09-09,Oakland,Female
11320,Morgan,Hill,Morgan Hill,2013-06-15,Glendale,Female
11321,Terrance,Raman,Terrance Raman,2013-02-23,Burien,Male
11322,Sydney,Garcia,Sydney Garcia,2013-03-24,Bremerton,Female
11323,Jose,Patterson,Jose Patterson,2011-09-10,Daly City,Male
11324,Zachary,Anderson,Zachary Anderson,2011-09-26,Glendale,Male
11325,Elijah,Ross,Elijah Ross,2011-09-19,Seattle,Male
11326,Rafael,Xie,Rafael Xie,2011-09-15,Beverly Hills,Male
11327,Jaime,Moreno,Jaime Moreno,2011-09-26,Burbank,Male
11328,Julian,Griffin,Julian Griffin,2013-01-05,Newton,Male
11329,Andy,Alvarez,Andy Alvarez,2011-09-25,Concord,Male
11330,Ryan,Thompson,Ryan Thompson,2013-02-12,Oak Bay,Male
11331,Samantha,Jenkins,Samantha Jenkins,2013-02-07,Shawnee,Female
11332,Deanna,Ramos,Deanna Ramos,2011-10-15,Berlin,Female
11333,Emily,Miller,Emily Miller,2011-03-21,Newcastle upon Tyne,Female
11334,Nicole,Brown,Nicole Brown,2011-03-04,Stoke-on-Trent,Female
11335,Carla,Raman,Carla Raman,2011-10-23,Hof,Female
11336,Shaun,Raji,Shaun Raji,2012-09-27,Paris,Male
11337,Jerome,Romero,Jerome Romero,2011-03-09,Watford,Male
11338,Frank,Navarro,Frank Navarro,2011-10-11,Bonn,Male
11339,Dennis,She,Dennis She,2012-10-07,Paris,Male
11340,Melody,Munoz,Melody Munoz,2012-10-27,Paris,Female
11341,Randy,Zeng,Randy Zeng,2011-04-11,Cheltenham,Male
11342,Marshall,Wang,Marshall Wang,2013-07-12,Boulogne-sur-Mer,Male
11343,Arthur,Carlson,Arthur Carlson,2011-04-04,Oxon,Male
11344,Jessie,Jimenez,Jessie Jimenez,2011-05-13,Oxford,Female
11345,Robin,Ramos,Robin Ramos,2012-10-22,Tremblay-en-France,Female
11346,Deanna,Gutierrez,Deanna Gutierrez,2012-10-01,Paris,Female
11347,Roy,Navarro,Roy Navarro,2013-03-16,Braunschweig,Male
11348,Shawn,Rai,Shawn Rai,2013-03-31,Paderborn,Male
11349,Mindy,Luo,Mindy Luo,2014-01-13,München,Female
11350,Cara,Zhou,Cara Zhou,2013-02-05,Peterborough,Female
11351,Anne,Ramos,Anne Ramos,2011-06-12,London,Female
11352,Raymond,Rodriguez,Raymond Rodriguez,2013-05-01,Pantin,Male
11353,Carrie,Ortega,Carrie Ortega,2011-06-12,Warrington,Female
11354,Deanna,Suarez,Deanna Suarez,2013-12-03,Grevenbroich,Female
11355,Roberto,Gutierrez,Roberto Gutierrez,2013-09-26,Wokingham,Male
11356,Terrence,Carson,Terrence Carson,2011-05-10,Lavender Bay,Male
11357,Ramon,Ye,Ramon Ye,2011-06-18,Caloundra,Male
11358,Cynthia,Malhotra,Cynthia Malhotra,2011-06-28,Coffs Harbour,Female
11359,Jarrod,Prasad,Jarrod Prasad,2011-06-13,Malabar,Male
11360,Tyrone,Serrano,Tyrone Serrano,2011-06-27,Rockhampton,Male
11361,Cindy,Ramos,Cindy Ramos,2013-10-01,Newcastle,Female
11362,Damien,Shan,Damien Shan,2013-03-29,Cranbourne,Male
11363,Julian,Ross,Julian Ross,2011-06-08,Melbourne,Male
11364,Jennifer,Collins,Jennifer Collins,2011-06-07,Geelong,Female
11365,Brittney,Sun,Brittney Sun,2011-05-31,Findon,Female
11366,Virginia,Patel,Virginia Patel,2013-06-24,Seaford,Female
11367,Calvin,Nara,Calvin Nara,2013-07-07,North Sydney,Male
11368,Edward,Miller,Edward Miller,2011-06-24,Rockhampton,Male
11369,Ashlee,Tang,Ashlee Tang,2013-07-05,Findon,Female
11370,Alicia,Xu,Alicia Xu,2013-07-13,South Melbourne,Female
11371,Lacey,Jai,Lacey Jai,2013-11-07,Rockhampton,Female
11372,Wendy,Romero,Wendy Romero,2011-06-07,Brisbane,Female
11373,Carly,Luo,Carly Luo,2013-08-27,Salzgitter,Female
11374,Jimmy,Ortega,Jimmy Ortega,2013-04-15,Werne,Male
11375,Francisco,Martinez,Francisco Martinez,2013-10-17,High Wycombe,Male
11376,Lance,Vazquez,Lance Vazquez,2013-10-15,Liverpool,Male
11377,David,Robinett,David Robinett,2013-02-28,Solingen,Male
11378,Shannon,Liang,Shannon Liang,2012-10-17,Metz,Female
